  QueueTimes | ServiceTimes | SojournTimes
       0.071 |        0.908 |        0.978
       0.072 |        1.326 |        1.398
       0.071 |        0.860 |        0.930
       0.063 |        1.180 |        1.243
       0.087 |        0.442 |        0.529
       0.093 |        1.083 |        1.176
       0.145 |        0.559 |        0.704
       0.177 |        1.622 |        1.799
       0.165 |        0.731 |        0.896
       0.137 |        0.493 |        0.630
       0.089 |        0.927 |        1.016
       0.067 |        0.977 |        1.045
       0.069 |        0.493 |        0.562
       0.076 |        1.939 |        2.015
       0.076 |        1.011 |        1.087
       0.126 |        1.158 |        1.284
       0.072 |        0.544 |        0.616
       0.059 |        1.781 |        1.840
       0.149 |        0.655 |        0.804
       0.121 |        0.636 |        0.756
       0.083 |        0.672 |        0.754
       0.065 |        0.787 |        0.852
       0.076 |        1.227 |        1.303
       0.076 |        0.323 |        0.399
       0.072 |        0.388 |        0.460
       0.145 |        0.743 |        0.888
       0.105 |        0.682 |        0.787
       0.071 |        1.312 |        1.383
       0.200 |        0.648 |        0.848
       0.158 |        1.069 |        1.228
       0.153 |        0.988 |        1.141
       0.087 |        0.493 |        0.580
       0.093 |        0.282 |        0.376
       0.079 |        1.156 |        1.235
       0.132 |        0.422 |        0.553
       0.079 |        2.631 |        2.711
       0.062 |        1.423 |        1.485
       0.083 |        3.158 |        3.241
       0.066 |        0.914 |        0.981
       0.077 |        2.212 |        2.289
       0.146 |        2.645 |        2.791
       0.063 |        0.591 |        0.655
       0.063 |        0.564 |        0.627
       0.121 |        0.763 |        0.884
       0.089 |        1.545 |        1.634
       0.075 |        0.577 |        0.651
       0.066 |        0.569 |        0.635
       0.050 |        1.683 |        1.734
       0.171 |        1.213 |        1.384
       0.153 |        1.641 |        1.793
       0.085 |        1.095 |        1.181
       0.073 |        2.235 |        2.309
       0.073 |        0.422 |        0.495
       0.081 |        2.101 |        2.182
       0.103 |        1.274 |        1.376
       0.136 |        0.333 |        0.469
       0.113 |        0.630 |        0.743
       0.105 |        0.927 |        1.031
       0.082 |        0.508 |        0.590
       0.202 |        0.429 |        0.631
       0.122 |        0.767 |        0.890
       0.189 |        1.376 |        1.565
       0.100 |        0.482 |        0.582
       0.074 |        0.777 |        0.851
